"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
ABBV,NYSE,03.01.2020,14:31:00,88.730,88.750,88.720,88.740,6498
ABBV,NYSE,03.01.2020,14:32:00,88.740,88.742,88.730,88.734,1572
ABBV,NYSE,03.01.2020,14:33:00,88.730,88.750,88.720,88.740,4663
ABBV,NYSE,03.01.2020,14:34:00,88.741,88.765,88.737,88.763,3728
ABBV,NYSE,03.01.2020,14:35:00,88.770,88.770,88.745,88.750,2587
ABBV,NYSE,03.01.2020,14:36:00,88.730,88.730,88.710,88.720,4455
ABBV,NYSE,03.01.2020,14:37:00,88.720,88.750,88.720,88.750,2338
ABBV,NYSE,03.01.2020,14:38:00,88.760,88.790,88.750,88.780,2103
ABBV,NYSE,03.01.2020,14:39:00,88.790,88.819,88.780,88.800,5321
ABBV,NYSE,03.01.2020,14:40:00,88.800,88.840,88.800,88.840,8721
ABBV,NYSE,03.01.2020,14:41:00,88.830,88.839,88.810,88.815,5197
ABBV,NYSE,03.01.2020,14:42:00,88.810,88.820,88.790,88.810,2509
ABBV,NYSE,03.01.2020,14:43:00,88.800,88.820,88.790,88.820,3985
ABBV,NYSE,03.01.2020,14:44:00,88.820,88.830,88.800,88.830,4638
ABBV,NYSE,03.01.2020,14:45:00,88.823,88.830,88.800,88.825,6544
ABBV,NYSE,03.01.2020,14:46:00,88.830,88.830,88.790,88.790,5204
ABBV,NYSE,03.01.2020,14:47:00,88.800,88.800,88.750,88.760,8074
ABBV,NYSE,03.01.2020,14:48:00,88.750,88.762,88.700,88.762,6020
ABBV,NYSE,03.01.2020,14:49:00,88.770,88.780,88.760,88.770,3010
ABBV,NYSE,03.01.2020,14:50:00,88.767,88.780,88.760,88.780,1720
ABBV,NYSE,03.01.2020,14:51:00,88.780,88.800,88.775,88.780,2257
ABBV,NYSE,03.01.2020,14:52:00,88.783,88.800,88.780,88.790,1990
ABBV,NYSE,03.01.2020,14:53:00,88.790,88.790,88.780,88.790,800
ABBV,NYSE,03.01.2020,14:54:00,88.785,88.800,88.770,88.776,4018
ABBV,NYSE,03.01.2020,14:55:00,88.770,88.780,88.730,88.780,5241
ABBV,NYSE,03.01.2020,14:56:00,88.770,88.770,88.720,88.740,6563
ABBV,NYSE,03.01.2020,14:57:00,88.750,88.770,88.750,88.755,4680
ABBV,NYSE,03.01.2020,14:58:00,88.760,88.768,88.745,88.765,4111
ABBV,NYSE,03.01.2020,14:59:00,88.765,88.810,88.750,88.790,7081
ABBV,NYSE,03.01.2020,15:00:00,88.790,88.800,88.790,88.800,6562
ABBV,NYSE,03.01.2020,15:01:00,88.800,88.800,88.780,88.785,3520
ABBV,NYSE,03.01.2020,15:02:00,88.784,88.820,88.760,88.800,19098
ABBV,NYSE,03.01.2020,15:03:00,88.800,88.810,88.780,88.790,23056
ABBV,NYSE,03.01.2020,15:04:00,88.800,88.830,88.780,88.800,31467
ABBV,NYSE,03.01.2020,15:05:00,88.790,88.800,88.755,88.780,11094
